Sponsor EntityID,Sponsor CTDS,Sponsor Name,Site EntityID,Site CTDS,Site Name,Percent Eligible for Meals,Total Enrolled as of Last Day in October
7320,072122000,A New Leaf,80290,072122007,Alice Peterson Residence,>80%,12
7320,072122000,A New Leaf,7322,072122002,D Mitchell RES,*,*
7320,072122000,A New Leaf,80289,072122006,Larry Simmons Residence,>80%,11
90199,108734000,"Academy Del Sol, Inc.",90200,108734001,Academy Del Sol,60-64%,47
90199,108734000,"Academy Del Sol, Inc.",90770,108734002,Academy Del Sol - Hope,65-69%,49
4296,078604000,"Academy Of Excellence, Inc.",5461,078604101,Academy Of Excellence,>=98%,115
4296,078604000,"Academy Of Excellence, Inc.",85863,078604004,Academy of Excellence - Central Arizona,>=90%,26
79961,108713000,"Academy of Mathematics and Science, Inc.",79094,108713101,Academy of Math and Science,59%,408
4325,078701000,Acclaim Charter School,5496,078701101,ACCLAIM Academy,98%,425
79437,138760000,Acorn Montessori Charter School,79438,138760101,Acorn Montessori Charter School,78%,267
79437,138760000,Acorn Montessori Charter School,88180,138760102,"Acorn Montessori Charter School, Inc. - West",61%,219
80381,219101001,Adobe Mountain School,8327,211001001,Adobe Mountain School,>=99%,407
78768,112751000,Against Abuse,78771,112751003,A Casa de Paz,>=90%,35
78768,112751000,Against Abuse,78769,112751001,La Casita de Paz,>80%,16
4289,070516000,Agua Fria Union High School District,5454,070516201,Agua Fria High School,61%,1645
4289,070516000,Agua Fria Union High School District,79799,070516203,Desert Edge High School,49%,1567
4289,070516000,Agua Fria Union High School District,78926,070516202,Millennium High School,28%,2141
4289,070516000,Agua Fria Union High School District,87903,070516204,Verrado High School,30%,1609
4249,070363000,Aguila Elementary District,5187,070363101,Aguila Elementary School,90-94%,189
85875,078501000,"Ahwatukee Foothills Prep, Inc.",85881,078501001,Mosaica Preparatory Academy of Chandler,60-64%,194
79053,078793000,AIBT Non-Profit Charter High School - Phoenix,79123,078793201,RCB Medical Arts Academy,60%,488
4409,100215000,Ajo Unified District,5831,100215001,Ajo Elementary School,78%,444
4280,070468000,Alhambra Elementary District,5381,070468101,Alhambra Traditional School,46%,734
4280,070468000,Alhambra Elementary District,5382,070468102,Andalucia Middle School,97%,1144
4280,070468000,Alhambra Elementary District,5384,070468104,Barcelona Middle School,94%,781
4280,070468000,Alhambra Elementary District,6030,070468105,Carol G. Peck Elementary School,92%,753
4280,070468000,Alhambra Elementary District,5385,070468106,Catalina Ventura School,92%,1161
4280,070468000,Alhambra Elementary District,5386,070468107,Cordova Middle School,96%,997
4280,070468000,Alhambra Elementary District,6031,070468108,Cordova Primary School,97%,585
4280,070468000,Alhambra Elementary District,5387,070468109,Granada East School,98%,1201
4280,070468000,Alhambra Elementary District,5388,070468110,Granada Primary School,98%,1102
4280,070468000,Alhambra Elementary District,5383,070468103,James W. Rice Primary School,90%,1313
4280,070468000,Alhambra Elementary District,5389,070468111,Montebello School,97%,1440
4280,070468000,Alhambra Elementary District,5391,070468113,R E Simpson School,97%,920
4280,070468000,Alhambra Elementary District,5390,070468112,Sevilla Primary School,95%,1068
4280,070468000,Alhambra Elementary District,79203,070468115,Sevilla West School,95%,1203
4280,070468000,Alhambra Elementary District,5392,070468114,Westwood Primary School,98%,1110
79969,078967000,All Aboard Charter School,79970,078967101,All Aboard Charter School,80-84%,110
86569,072769000,"All My Children, Inc.",86572,072769001,All My Children #1 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86574,072769002,All My Children #2 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86575,072769003,All My Children #3 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86576,072769004,All My Children #4 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86577,072769005,All My Children #5 a Satellite Home,>80%,10
81031,108716000,Allsport Academy,79681,108716001,Allsport Academy,90-94%,107
4418,100351000,Altar Valley Elementary District,5859,100351103,Altar Valley Middle School,82%,312
4418,100351000,Altar Valley Elementary District,84336,100351100,Robles Elementary School,90%,440
79215,078989000,American Basic Schools LLC,78788,078989101,Burke Basic School,96%,856
80995,108794000,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,108794201,Alta Vista High School,84%,480
79883,118703000,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,118703001,Apache Trail High School,75-79%,185
79874,078950000,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,078950001,Crestview College Preparatory High School,75%,293
79872,078947000,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,078947001,Desert Hills High School,48%,433
79873,078948000,American Charter Schools Foundation d.b.a. Estrella High School,78900,078948001,Estrella High School,85%,447
79875,078951000,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,078951001,Peoria Accelerated High School,76%,583
80989,078983000,American Charter Schools Foundation d.b.a. South Pointe High School,80990,078983201,South Pointe High School,74%,636
88334,078517000,American Charter Schools Foundation d.b.a. South Ridge High School,88335,078517201,South Ridge High School,83%,479
