Sponsor EntityID,Sponsor CTDS,Sponsor Name,Site EntityID,Site CTDS,Site Name,Percent Eligible for Meals,Total Enrolled as of Last Day in October
7320,072122000,A New Leaf,80290,072122007,Alice Peterson Residence,>80%,12
7320,072122000,A New Leaf,7322,072122002,D Mitchell RES,>80%,20
90199,108734000,"Academy Del Sol, Inc.",90200,108734001,Academy Del Sol,35-39%,49
90199,108734000,"Academy Del Sol, Inc.",90770,108734002,Academy Del Sol - Hope,60-69%,30
4296,078604000,"Academy Of Excellence, Inc.",5461,078604101,Academy Of Excellence,>=98%,127
79961,108713000,"Academy of Mathematics and Science, Inc.",79094,108713101,Academy of Math and Science,65%,291
79213,078794000,Academy with Community Partners  Inc,10795,078794201,Academy with Community Partners,70-74%,112
4325,078701000,Acclaim Charter School,5496,078701101,ACCLAIM Academy,68%,438
79437,138760000,Acorn Montessori Charter School,79438,138760101,Acorn Montessori Charter School,73%,288
79437,138760000,Acorn Montessori Charter School,88180,138760102,"Acorn Montessori Charter School, Inc. - West",60-64%,177
80381,219101001,Adobe Mountain School,8327,211001001,Adobe Mountain School,>=99%,394
78768,112751000,Against Abuse,78771,112751003,A Casa de Paz,>=90%,25
78768,112751000,Against Abuse,78769,112751001,La Casita de Paz,>80%,16
4289,070516000,Agua Fria Union High School District,5454,070516201,Agua Fria High School,58%,1647
4289,070516000,Agua Fria Union High School District,79799,070516203,Desert Edge High School,45%,1498
4289,070516000,Agua Fria Union High School District,78926,070516202,Millennium High School,25%,2166
4289,070516000,Agua Fria Union High School District,87903,070516204,Verrado High School,27%,1433
4249,070363000,Aguila Elementary District,5187,070363101,Aguila Elementary School,90-94%,176
85875,078501000,"Ahwatukee Foothills Prep, Inc.",85881,078501001,Mosaica Preparatory Academy of Chandler,59%,415
79053,078793000,AIBT Non-Profit Charter High School - Phoenix,79123,078793201,RCB Medical Arts Academy,89%,400
4409,100215000,Ajo Unified District,5831,100215001,Ajo Elementary School,71%,440
5978,118705000,"Akimel O Otham Pee Posh Charter School, Inc.",10797,118705001,Akimel O'Otham Pee Posh (K-2),74%,344
4280,070468000,Alhambra Elementary District,90165,078554001,Alhambra College Preparatory High School,80-84%,136
4280,070468000,Alhambra Elementary District,5381,070468101,Alhambra Traditional School,43%,768
4280,070468000,Alhambra Elementary District,5382,070468102,Andalucia Middle School,96%,1188
4280,070468000,Alhambra Elementary District,5384,070468104,Barcelona Middle School,93%,759
4280,070468000,Alhambra Elementary District,6030,070468105,Carol G. Peck Elementary School,95%,741
4280,070468000,Alhambra Elementary District,5385,070468106,Catalina Ventura School,90%,1104
4280,070468000,Alhambra Elementary District,5386,070468107,Cordova Middle School,93%,905
4280,070468000,Alhambra Elementary District,6031,070468108,Cordova Primary School,98%,752
4280,070468000,Alhambra Elementary District,5387,070468109,Granada East School,97%,1170
4280,070468000,Alhambra Elementary District,5388,070468110,Granada Primary School,97%,1086
4280,070468000,Alhambra Elementary District,5383,070468103,James W. Rice Primary School,93%,1113
4280,070468000,Alhambra Elementary District,5389,070468111,Montebello School,97%,1358
4280,070468000,Alhambra Elementary District,5391,070468113,R E Simpson School,97%,991
4280,070468000,Alhambra Elementary District,5390,070468112,Sevilla Primary School,96%,983
4280,070468000,Alhambra Elementary District,79203,070468115,Sevilla West School,93%,1130
4280,070468000,Alhambra Elementary District,5392,070468114,Westwood Primary School,97%,1068
79969,078967000,All Aboard Charter School,79970,078967101,All Aboard Charter School,75-79%,115
86569,072769000,"All My Children, Inc.",86572,072769001,All My Children #1 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86574,072769002,All My Children #2 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86575,072769003,All My Children #3 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86576,072769004,All My Children #4 a Satellite Home,>80%,10
86569,072769000,"All My Children, Inc.",86577,072769005,All My Children #5 a Satellite Home,>80%,10
81031,108716000,Allsport Academy,79681,108716001,Allsport Academy,90-94%,56
4418,100351000,Altar Valley Elementary District,5859,100351103,Altar Valley Middle School,74%,312
4418,100351000,Altar Valley Elementary District,84336,100351100,Robles Elementary School,79%,390
79215,078989000,American Basic Schools LLC,78788,078989101,Burke Basic School,88%,864
80995,108794000,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,108794201,Alta Vista High School,82%,474
79874,078950000,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,078950001,Crestview College Preparatory High School,84%,229
79873,078948000,American Charter Schools Foundation d.b.a. Estrella High School,78900,078948001,Estrella High School,82%,440
79875,078951000,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,078951001,Peoria Accelerated High School,72%,443
80989,078983000,American Charter Schools Foundation d.b.a. South Pointe High School,80990,078983201,South Pointe High School,68%,626
88334,078517000,American Charter Schools Foundation d.b.a. South Ridge High School,88335,078517201,South Ridge High School,71%,512
79879,078956000,American Charter Schools Foundation d.b.a. West Phoenix High School,6348,078956001,West Phoenix High School,92%,672
9655,092001000,American Indian Christian Mission,80313,092001101,American Indian Christian Mission,80-89%,29
4406,100210000,Amphitheater Unified District,6055,100210281,Amphitheater High School,75%,1317
4406,100210000,Amphitheater Unified District,5805,100210166,Amphitheater Middle School,93%,695
4406,100210000,Amphitheater Unified District,5808,100210282,Canyon Del Oro High School,22%,1749
4406,100210000,Amphitheater Unified District,5802,100210118,Copper Creek Elementary School,24%,670
4406,100210000,Amphitheater Unified District,5799,100210115,Coronado K-8 School,45%,1047
4406,100210000,Amphitheater Unified District,5796,100210110,E C Nash School,98%,545
4406,100210000,Amphitheater Unified District,5794,100210108,Frances Owen Holaway Elementary School,69%,445
4406,100210000,Amphitheater Unified District,5795,100210109,Helen Keeling Elementary School,>=99%,470
4406,100210000,Amphitheater Unified District,79378,100210280,Ironwood Ridge High School,12%,1874
4406,100210000,Amphitheater Unified District,5797,100210111,L M Prince School,96%,590
4406,100210000,Amphitheater Unified District,5804,100210165,La Cima Middle School,78%,594
